"sigla","fonte","camada","id_na_fonte","nome_na_fonte","status","professor","observacao"
"DCIVIL","Tutory","plataforma","","Direito Civil (Fiscal/ Controle)","ok","",""
"DCIVIL","Tutory","plataforma","","Direito Civil e Empresarial","ok","","nome junta duas disciplinas nossas"
"DEMPRE","Tutory","plataforma","","Direito Civil e Empresarial","ok","","nome junta duas disciplinas nossas"
"DCIVIL","Tutory","plataforma","","DIREITO CIVIL, EMPRESARIA E PENAL","ok","","nome junta tres disciplinas nossas"
"DEMPRE","Tutory","plataforma","","DIREITO CIVIL, EMPRESARIA E PENAL","ok","","nome junta tres disciplinas nossas"
"DPENAL","Tutory","plataforma","","DIREITO CIVIL, EMPRESARIA E PENAL","ok","","nome junta tres disciplinas nossas"
"DCONST","Tutory","plataforma","","Direito Constitucional","ok","",""
"DCONST","Tutory","plataforma","","Direito Constitucional - Área Fiscal","ok","",""
"DCONST","Tutory","plataforma","","DIREITO CONSTITUCIONAL - REVISÃO TEÓRICA","ok","",""
"DCONST","Tutory","plataforma","","Direito Constitucional (Fiscal/ Controle)","ok","",""
"DCONST","Tutory","plataforma","","DIREITO CONSTITUCIONAL E ADMINISTRATIVO","ok","","nome junta duas disciplinas nossas"
"DADM","Tutory","plataforma","","DIREITO CONSTITUCIONAL E ADMINISTRATIVO","ok","","nome junta duas disciplinas nossas"
"DEMPRE","Tutory","plataforma","","DIREITO EMPRESARIAL","ok","",""
"DEMPRE","Tutory","plataforma","","Direito Empresarial - Área Fiscal","ok","",""
"DEMPRE","Tutory","plataforma","","DIREITO EMPRESARIAL - REVISÃO TEÓRICA","ok","",""
"DEMPRE","Tutory","plataforma","","Direito Empresarial (Fiscal/ Controle)","ok","",""
"AFO","Tutory","plataforma","","DIREITO FINANCEIRO (AFO)","ok","",""
"AFO","Tutory","plataforma","","DIREITO FINANCEIRO (AFO) - REVISÃO TEÓRICA","ok","",""
"DPENAL","Tutory","plataforma","","DIREITO PENAL","ok","",""
"DPENAL","Tutory","plataforma","","Direito Penal - Área Fiscal","ok","",""
"DPENAL","Tutory","plataforma","","DIREITO PENAL - REVISÃO TEÓRICA","ok","",""
"DPENAL","Tutory","plataforma","","Direito Penal (Fiscal/ Controle)","ok","",""
"","Tutory","plataforma","","DIREITO PROCESSUAL CIVIL","fora_escopo","",""
"","Tutory","plataforma","","DIREITO PROCESSUAL CIVIL - REVISÃO TEÓRICA","fora_escopo","",""
"","Tutory","plataforma","","Direito Processual Civil (Fiscal/ Controle)","fora_escopo","",""
"DTRIB","Tutory","plataforma","","Direito Tribubário (Fiscal)","ok","",""
"DTRIB","Tutory","plataforma","","Direito Tribubário (Fiscal/ Controle)","ok","",""
"DTRIB","Tutory","plataforma","","Direito Tributário","ok","",""
"DTRIB","Tutory","plataforma","","Direito Tributário - Área Fiscal","ok","",""
"DTRIB","Tutory","plataforma","","DIREITO TRIBUTÁRIO - REVISÃO TEÓRICA","ok","",""
"DTRIB","Tutory","plataforma","","Direito Tributário (Fiscal)","ok","",""
"ECOFIN","Tutory","plataforma","","ECONOMIA","ok","",""
"ECOFIN","Tutory","plataforma","","ECONOMIA - REVISÃO TEÓRICA","ok","",""
"ECOFIN","Tutory","plataforma","","Economia (Fiscal/ Controle)","ok","",""
"","Tutory","plataforma","","Economia Regional do Pará (Fiscal)","local","",""
"ESTAT","Tutory","plataforma","","Estatística","ok","",""
"ESTAT","Tutory","plataforma","","Estatística - Área Fiscal","ok","",""
"ESTAT","Tutory","plataforma","","Estatística (Fiscal/ Controle)","ok","",""
"ECOFIN","Tutory","plataforma","","FINANÇAS PÚBLICAS","ok","",""
"ECOFIN","Tutory","plataforma","","FINANÇAS PÚBLICAS - REVISÃO TEÓRICA","ok","",""
"TECINF","Tutory","plataforma","","FLUÊNCIA DE DADOS","ok","",""
"TECINF","Tutory","plataforma","","FLUÊNCIA DE DADOS - REVISÃO TEÓRICA","ok","",""
"","Tutory","plataforma","","Gestão de Contratos (Fiscal/ Controle)","olho","",""
"PORT","Tutory","plataforma","","Gramática","ok","",""
"","Tutory","plataforma","","História de Campina Grande/PB","local","",""
"","Tutory","plataforma","","História e Aspectos Geoeconômicos do Rio Grande do Norte (Fiscal/ Controle)","local","",""
"TECINF","Tutory","plataforma","","Informática - Área Fiscal","ok","",""
"","Tutory","plataforma","","Inglês","fora_escopo","",""
"","Tutory","plataforma","","Inglês (Fiscal/ Controle)","fora_escopo","",""
"","Tutory","plataforma","","Legislação e Ética no Serviço Público","olho","",""
"","Tutory","plataforma","","Legislação Tribuntária Federal","local","",""
"","Tutory","plataforma","","Legislação Tribuntária Municipal","local","",""
"LTRIB","Tutory","plataforma","","LEGISLAÇÃO TRIBUTÁRIA","ok","",""
"LTRIB","Tutory","plataforma","","LEGISLAÇÃO TRIBUTÁRIA - REVISÃO TEÓRICA","ok","",""
"LTRIB","Tutory","plataforma","","Legislação Tributária (Fiscal)","ok","",""
"","Tutory","plataforma","","Legislação Tributária do Estado de São Paulo (Fiscal)","local","",""
"","Tutory","plataforma","","Legislação Tributária do Estado do Ceará (Fiscal/ Controle)","local","",""
"","Tutory","plataforma","","Legislação Tributária do Estado do Pará (Fiscal/ Controle)","local","",""
"","Tutory","plataforma","","Legislação Tributária Estadual do Goiás (Fiscal/ Controle)","local","",""
"","Tutory","plataforma","","Legislação Tributária Estadual do Rio Grande do Norte (Fiscal/ Controle)","local","",""
"","Tutory","plataforma","","Legislação Tributária Municipal de Manaus (Fiscal)","local","",""
"","Tutory","plataforma","","Lei Orgância e Regimento Interno do TCDF (Fiscal/ Controle)","local","",""
"","Tutory","plataforma","","Lei Orgânica do Distrito Federal (Fiscal/ Controle)","local","",""
"","Tutory","plataforma","","LEI ORGÂNICA DO TCDF E REGIMENTO INTERNO","local","",""
"PORT","Tutory","plataforma","","LÍNGUA PORTUGUESA","ok","",""
"PORT","Tutory","plataforma","","LÍNGUA PORTUGUESA - REVISÃO TEÓRICA","ok","",""
"MATFIN","Tutory","plataforma","","MATEMÁTICA FINANCEIRA","ok","",""
"MATFIN","Tutory","plataforma","","Matemática Financeira - Área Fiscal","ok","",""
"MATFIN","Tutory","plataforma","","MATEMÁTICA FINANCEIRA - REVISÃO TEÓRICA","ok","",""
"MATFIN","Tutory","plataforma","","Matemática Financeira (Fiscal/ Controle)","ok","",""
"MATFIN","Tutory","plataforma","","MATEMÁTICA FINANCEIRA E ESTATÍSTICA","ok","","nome junta duas disciplinas nossas"
"ESTAT","Tutory","plataforma","","MATEMÁTICA FINANCEIRA E ESTATÍSTICA","ok","","nome junta duas disciplinas nossas"
"MATFIN","Tutory","plataforma","","MATEMÁTICA FINANCEIRA/ RACIOCÍNIO LÓGICO/ ESTATÍSTICA","ok","","nome junta tres disciplinas nossas"
"RACLOG","Tutory","plataforma","","MATEMÁTICA FINANCEIRA/ RACIOCÍNIO LÓGICO/ ESTATÍSTICA","ok","","nome junta tres disciplinas nossas"
"ESTAT","Tutory","plataforma","","MATEMÁTICA FINANCEIRA/ RACIOCÍNIO LÓGICO/ ESTATÍSTICA","ok","","nome junta tres disciplinas nossas"
"MATFIN","Tutory","plataforma","","MATEMÁTICA FINANCEIRA/ RACIOCÍNIO LÓGICO/ ESTATÍSTICA - REVISÃO TEÓRICA","ok","","nome junta tres disciplinas nossas"
"RACLOG","Tutory","plataforma","","MATEMÁTICA FINANCEIRA/ RACIOCÍNIO LÓGICO/ ESTATÍSTICA - REVISÃO TEÓRICA","ok","","nome junta tres disciplinas nossas"
"ESTAT","Tutory","plataforma","","MATEMÁTICA FINANCEIRA/ RACIOCÍNIO LÓGICO/ ESTATÍSTICA - REVISÃO TEÓRICA","ok","","nome junta tres disciplinas nossas"
"TECINF","Tutory","plataforma","","Noções de Informática","ok","",""
"","Tutory","plataforma","","Nova","lixo_migracao","",""
"","Tutory","plataforma","","Organização Administrativa - Simulado (Passo Estratégico)","lixo_migracao","",""
"","Tutory","plataforma","","Organização Administrativa (Passo Estratégico)","lixo_migracao","",""
"","Tutory","plataforma","","Organização Administrativa (Questões CEBRASPE)","lixo_migracao","",""
"","Tutory","plataforma","","Organização Administrativa (Questões FCC)","lixo_migracao","",""
"","Tutory","plataforma","","Organização Administrativa (Questões FGV)","lixo_migracao","",""
"","Tutory","plataforma","","Organização Administrativa (Questões VUNESP)","lixo_migracao","",""
"","Tutory","plataforma","","Poderes e Deveres da Administração - Simulado (Passo Estratégico)","lixo_migracao","",""
"","Tutory","plataforma","","Poderes e Deveres da Administração (Passo Estratégico)","lixo_migracao","",""
"PORT","Tutory","plataforma","","Portugues","ok","",""
"PORT","Tutory","plataforma","","Português","ok","",""
"PORT","Tutory","plataforma","","Português - Área Fiscal","ok","",""
"","Tutory","plataforma","","Português - Boas-vindas","lixo_migracao","",""
"PORT","Tutory","plataforma","","Português (Fiscal/ Controle)","ok","",""
"","Tutory","plataforma","","Princípios da Adm","lixo_migracao","",""
"","Tutory","plataforma","","Raciocínio Lógico e Matemática - Boas-vindas","lixo_migracao","",""
"RACLOG","Tutory","plataforma","","Raciocínio Lógico-Matemático (Fiscal/ Controle)","ok","",""
"RACLOG","Tutory","plataforma","","Raciocíno Lógico Matemática - Área Fiscal","ok","",""
"","Tutory","plataforma","","Realidade ética, social, histórica, geográfica, cultural, política e econômica de Goiás (Fiscal)","local","",""
"","Tutory","plataforma","","Redação Discursiva - Boas-vindas","lixo_migracao","",""
"LTRIB","Tutory","plataforma","","Reforma Tributária e Lei Kandir (Fiscal)","ok","","o nome junta as duas; a Kandir e LTRIB (Elvis 22/08/2026)"
"REFTRI","Tutory","plataforma","","Reforma Tributária e Lei Kandir (Fiscal)","ok","","o nome junta as duas; a Kandir e LTRIB (Elvis 22/08/2026)"
"","Tutory","plataforma","","Regime Jurídico dos Servidores Públicos Civis do DF (Fiscal/ Controle)","local","",""
"","Tutory","plataforma","","Revisão 1","lixo_migracao","",""
"","Tutory","plataforma","","Revisão 2","lixo_migracao","",""
"","Tutory","plataforma","","Simulado","lixo_migracao","",""
"","Tutory","plataforma","","Simulado 1","lixo_migracao","",""
"","Tutory","plataforma","","Simulado 2","lixo_migracao","",""
"TECINF","Tutory","plataforma","","TECNOLOGIA DA INFORMAÇÃO","ok","",""
"TECINF","Tutory","plataforma","","TECNOLOGIA DA INFORMAÇÃO - REVISÃO TEÓRICA","ok","",""
"TECINF","Tutory","plataforma","","Tecnologia da Informação (Fiscal/ Controle)","ok","",""
