"sigla","fonte","camada","id_na_fonte","nome_na_fonte","status","professor","observacao"
"AUDIT","Estrategia Regular Controle","plataforma","224360","Concursos de Tribunais de Contas (Nível Superior) Auditoria Governamental - Curso Regular","ok","",""
"CONTAB","Estrategia Regular Controle","plataforma","224361","Concursos de Tribunais de Contas (Nível Superior) Contabilidade Geral Avançada - Curso Regular","ok","",""
"CTREXT","Estrategia Regular Controle","plataforma","224362","Concursos de Tribunais de Contas (Nível Superior) Controle Externo - Curso Regular","ok","",""
"CONTPU","Estrategia Regular Controle","plataforma","224363","Concursos de Tribunais de Contas (Nível Superior) Contabilidade Pública - Curso Regular","ok","",""
"TECINF","Estrategia Regular Fiscal","plataforma","247678","Concursos da Área Fiscal - Curso Completo de Tecnologia da Informação","ok","",""
"TECINF","Estrategia Regular Fiscal","plataforma","247701","Concursos da Área Fiscal - Curso Completo de Informática","ok","",""
"AFO","Estrategia Regular Fiscal","plataforma","263651","Concursos da Área Fiscal - Curso Completo de Administração Financeira e Orçamentária","ok","",""
"CONTPU","Estrategia Regular Fiscal","plataforma","263654","Concursos da Área Fiscal - Curso Completo de Contabilidade Pública","ok","",""
"","Estrategia Regular Fiscal","plataforma","268932","Concursos da Área Fiscal - Curso Básico de Discursiva (Sem Correção)","lixo_migracao","",""
"CONTAB","Estrategia Regular Fiscal","plataforma","331806","Concursos da Área Fiscal - Curso Básico de Contabilidade de Geral e Avançada (Profs. Julio Cardozo, Luciano Rosa e Silvio Sande)","ok","Cardozo Rosa Sande",""
"CUSTOS","Estrategia Regular Fiscal","plataforma","331818","Concursos da Área Fiscal - Curso Básico de Contabilidade de Custos","ok","",""
"DCIVIL","Estrategia Regular Fiscal","plataforma","332611","Concursos da Área Fiscal - Curso Básico de Direito Civil (Prof. Cadu Carrilho)","ok","Cadu Carrilho",""
"LTRIB","Estrategia Regular Fiscal","plataforma","336350","Concursos da Área Fiscal - Legislação Tributária sobre o Consumo (LTC) - Reforma Tributária (EC nº 132/2023 e LC nº 214/2025)","ok","","Elvis 22/08/2026: a parte da Lei Kandir e LTRIB, a Reforma e outra coisa"
"REFTRI","Estrategia Regular Fiscal","plataforma","371461","Reforma Tributária - Lei Complementar nº 227/2026 - Curso Regular (Prof. Rafael Rocha)","ok","Rafael Rocha",""
"REFTRI","Estrategia Regular Fiscal","plataforma","389109","Concursos da Área Fiscal - Reforma Tributária (LC nº 227/2026)","ok","",""
"AFO","Bezerra","plataforma","","Administração Financeira e Orçamentária","ok","",""
"","Bezerra","plataforma","","Administração Geral","olho","",""
