"materia_id","materia_nome","sigla","assunto_id","hierarquia","nivel","nome"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","14216","14.09.18","3","Do Atestado de Regularidade Fiscal (arts. 223 a 230-C do RPTA-MG)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","11833","05.08.03","3","Do Cadastro (arts. 26 a 31 do RIPVA-AM)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","16685","17.01.10","3","Do Cadastro (arts. 33 e 34 da Lei Estadual nº 11.580/1996)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","12036","15.42.11","3","Do Cadastro (arts. 49 a 51 do RIPVA-PA)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","17712","25.16.08","3","Do Cadastro de Contribuintes (arts. 30 e 31 da Lei Estadual nº 13.296/2008)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","12022","15.45.02.02","4","Do Cadastro de Contribuintes do ICMS (arts. 129 a 167-A do RICMS-PA)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","12104","24.06.01.11","4","Do Cadastro de Inadimplência da Fazenda Pública Estadual - CIPE (arts. 102 a 109 do RICMS-RR)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","14585","17.02.05","3","Do Cadastro e da Fiscalização (arts. 7º e 8º da Lei Estadual nº 14.260/2003)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","11981","09.03.01.10","4","Do Cadastro Fiscal e da Inscrição (arts. 41 a 43 da Lei Estadual nº 7.000/2001)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","12108","24.06.02.02","4","Do Cadastro Geral da Fazenda - CGF (arts. 111 a 142 do RICMS-RR)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","14191","14.08.07","3","Do Cálculo do Imposto (arts. 11 a 25 do RITCD-MG)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","13623","18.08.04","3","Do Cálculo do Imposto (arts. 12 a 18-B da Lei Estadual nº 15.730/2016)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","17686","25.12.03.01.02","5","Do Cálculo do Imposto (arts. 24 a 66 da Lei Estadual nº 6.374/1989)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","12098","24.06.01.05","4","Do Cálculo do Imposto (arts. 29 a 46 do RICMS-RR)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","12165","26.09.04","3","Do Cálculo do Imposto (arts. 9º a 27 do RICMS-SC)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","13630","18.13.02","3","Do Cálculo do Imposto Devido (arts. 6º ao 22 do RICMS-PE)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","11965","09.05.06","3","Do Cálculo do Pagamento do Imposto (arts. 10 a 14 da Lei Estadual nº 10.011/2013)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","14167","14.03.04","3","Do Cálculo do Tributo (arts. 4º a 11 da Lei Estadual nº 14.941/2003)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","11803","03.09.07","3","Do Cálculo e do Lançamento do Imposto (arts. 8º a 25 do RITCD-AL)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","17161","19.05.08","3","Do Cálculo e dos Prazos de Recolhimento (arts. 15 a 22 da Lei Estadual nº 4.548/1992)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","14159","14.06.08","3","Do Código Fiscal de Operações e Prestação e do Código de Situação Tributária (art. 187 do RICMS-MG)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","17968","15.45.02.09","4","Do Código Fiscal de Operações e Prestações, Do Código de Atividades Econômicas e do Código de Situação Tributária (arts. 515 a 517 do RICMS-PA)"
"57","Legislação Tributária dos Estados e do Distrito Federal","LTEST","13633","18.13.05","3","Do Comércio Exterior (arts. 35 ao 48 do RICMS-PE)"
